Mouse ID		Replicate 1: IgG concentration (pg/mL)	Replicate 2: IgG concentration (pg/mL)	Replicate 3: IgG concentration (pg/mL)	Replicate 4: IgG concentration (pg/mL)	Replicate 5: IgG concentration (pg/mL)
17.3 M1		159.547	193.869	188.656		
17.3 M2		241.773	270.787	304.158		
17.3 M3		118.602	103.039	126.62		
17.3 M4		170.28	81.064	92.02		
17.3 M5		188.255	207.544	206.134		
17.11 M1		413.723	328.222	382.023		
17.11 M2		138.796	219.86	165.903		
17.11 M3		136.631	148.855	142.539		
17.11 M4		440.516	467.887	414.995		
17.11 M5		311.818	305.399	300.849		
17.15 M1		258.436	110.591	120.904		
17.15 M2		117.062	102.424	104.024		
17.15 M3		192.169	180.232	171.008		
17.15 M4		516.004	384.377	371.91		
17.15 M5		419.851	398.268	366.427		
17.16 M1		375.506	302.251	306.243		
17.16 M2		158.594	448.421	196.602		
17.16 M3		231.386	252.541	1004.145*		
17.16 M4		280.958	367.813	295.271		
17.16 M5		309.364	287.675	207.444		
17.5 M1		114.948	95.024	156.369		
17.5 M2		270.557	132.267	121.103		
17.5 M3		65.853	62.968	57.026		
17.5 M4		197.035	151.127	156.974		
17.5 M5		42.778	47.506	45.423		
933 unvax		189.658	173.867	201.906		
730 unvax		174.392	189.672	193.965		
731 unvax		68.745	89.343	76.873	153.801	162.772
732 unvax		102.102	99.74	96.398		
734 unvax		178.866	134.866	158.59		
						
						
*Discarded value by Grubbs' Test						
