Gene ontology (cellular component),Gene ontology (cellular component),tag 2,tag 3,Tag 4,other,,,,,
cytoplasm,cytoplasm,,,,,"cell outer membrane, transmembrane",1,,cell outer membrane,1
plasma membrane,plasma membrane,,,,,cytoplasm,119,,cytoplasm,148
"plasma membrane, transmembrane ",plasma membrane ,,,,,plasma membrane,23,,plasma membrane,40
cytoplasm,cytoplasm,plasma membrane,,,,"plasma membrane, transmembrane ",17,,cell wall,3
,,,,,,ribosome,24,,Secreted,14
Secreted,Secreted,Cell Surface,,,,proteasome complex,5,,Cell Surface,7
,,,,,,cell wall,3,,,
,,,,,,bacterial extracellular vesicle,6,,,
,,,,,,Secreted,8,,,
cytoplasm,cytoplasm,,,,,Cell Surface,7,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
plasma membrane,plasma membrane,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
ribosome,ribosome,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,TAT protein transport complex ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
ribosome,ribosome,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,plasma membrane,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
chromosome,chromosome,cytoplasm,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,plasma membrane,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,extracellular region,,,,,,,,
cytoplasm,cytoplasm,proteasome complex,,,"proteasome core complex, alpha-subunit complex",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
ribosome,ribosome,,,,,,,,,
,,,,,,,,,,
"cell outer membrane, transmembrane",cell outer membrane,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
cytoplasm,cytoplasm,"plasma membrane, transmembrane ",,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
plasma membrane,plasma membrane,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
cytosol,cytosol,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
chromosome,chromosome,cytoplasm,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
chromosome,chromosome,cytoplasm,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
Secreted,Secreted,cell wall,plasma membrane,Cell Surface,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytosol,cytosol,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
bacterial extracellular vesicle,bacterial extracellular vesicle,cell wall,plasma membrane,,,,,,,
Secreted,Secreted,Plasma membrane,Cell Surface,,ATP-binding cassette (ABC) transporter complex,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
plasma membrane,plasma membrane,,,,,,,,,
,,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
proteasome complex,proteasome complex,,,,,,,,,
Cell Surface,Cell Surface,plasma membrane,secreted,,ATP-binding cassette (ABC) transporter complex ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ribosome,ribosome,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
bacterial extracellular vesicle,bacterial extracellular vesicle, cytoplasm,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
,,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
plasma membrane,plasma membrane,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
plasma membrane,plasma membrane,,,,,,,,,
"plasma membrane, transmembrane ",plasma membrane ,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
cytoplasm,cytoplasm,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
cell surface,cell surface,secreted,plasma membrane,,ATP-binding cassette (ABC) transporter complex,,,,,
,,,,,,,,,,
